"TOC.x1"	"TOC.x2"	"TOC.mid"	"ASV.dist"
3.122	4.06	3.591	0.924444705838451
0.6647	4.06	2.36235	0.953989173806757
0.3441	4.06	2.20205	0.954310446203056
2.588	4.06	3.324	0.973530010578924
2.542	4.06	3.301	0.979568268492485
3.49	4.06	3.775	0.946836425143663
4.06	7.1105	5.58525	0.944034431562485
4.06	7.0695	5.56475	0.978488503130044
4.06	6.576	5.318	0.897421542887514
4.06	6.576	5.318	0.901832299568521
4.06	5.0125	4.53625	0.938804286044654
4.06	6.2165	5.13825	0.928199506697448
4.06	12.895	8.4775	0.83063574904579
4.06	6.3915	5.22575	0.893423544978298
6.898	6.898	6.898	0.903124418826831
6.898	6.944	6.921	0.910477519323945
4.395	6.898	5.6465	0.872472728645832
6.652	6.898	6.775	0.93179893726624
6.898	9.613	8.2555	0.951474604716822
6.898	11.175	9.0365	0.924825564799321
4.114	6.898	5.506	0.931077154889584
6.898	7.6885	7.29325	0.921310416352213
6.898	11.81	9.354	0.854885533542199
6.898	8.8315	7.86475	0.9278677852284
6.898	7.514	7.206	0.941174971009868
6.898	11.945	9.4215	0.911607363676866
2.854	6.898	4.876	0.98563301392304
0.954	6.898	3.926	0.918521027548542
6.898	7.619	7.2585	0.970102389943817
3.427	6.898	5.1625	0.864155997945867
4.859	6.898	5.8785	0.910627400024302
6.898	7.6015	7.24975	0.953703721166583
6.898	7.365	7.1315	0.925004795984858
6.525	6.898	6.7115	0.987260463320258
6.898	12.275	9.5865	0.924230573073037
1.3135	6.898	4.10575	0.904698277519358
6.898	9.409	8.1535	0.904306236758479
6.898	7.2185	7.05825	0.917035350304026
6.898	7.5375	7.21775	0.916213518990861
6.898	8.522	7.71	0.905062501790128
6.898	7.441	7.1695	0.9303855282942
4.9925	6.898	5.94525	0.935989152717765
6.836	6.898	6.867	0.908008325583065
5.6115	6.898	6.25475	0.902145768263442
6.898	9.503	8.2005	0.936521980524194
6.898	7.5525	7.22525	0.889549728695313
6.107	6.898	6.5025	0.889211047604215
6.898	7.063	6.9805	0.916457611711533
6.898	12.545	9.7215	0.930275292420681
6.898	10.78	8.839	0.937148207395781
6.898	9.1175	8.00775	0.928845938197224
5.9425	6.898	6.42025	0.845450513474802
5.5715	6.898	6.23475	0.921231427007148
4.514	6.898	5.706	0.929910588167427
5.492	6.898	6.195	0.917926600172869
3.7675	6.898	5.33275	0.933811578028954
6.2985	6.898	6.59825	0.931584311271386
6.898	8.0215	7.45975	0.902785697481663
3.6585	6.898	5.27825	0.891136468742127
2.8325	6.898	4.86525	0.959198112556054
6.898	9.6795	8.28875	0.950235354568895
6.898	7.026	6.962	0.862157767317317
5.8555	6.898	6.37675	0.849200214121418
6.898	7.1735	7.03575	0.868337683293821
6.898	9.1145	8.00625	0.933604397066948
6.6945	6.898	6.79625	0.919700141586517
2.3695	6.898	4.63375	0.936848987807552
3.6215	6.898	5.25975	0.875511833649681
4.0915	6.898	5.49475	0.94617974693892
