"x"
0.3441
0.6647
0.954
1.3135
2.3695
2.542
2.588
2.8325
2.854
3.122
3.427
3.49
3.6215
3.6585
3.7105
3.7675
4.06
4.0915
4.114
4.395
4.514
4.859
4.9925
5.0125
5.492
5.5715
5.6115
5.8555
5.9425
6.107
6.2165
6.2985
6.3915
6.525
6.576
6.576
6.652
6.6945
6.836
6.898
6.898
6.944
7.026
7.063
7.0695
7.1105
7.1735
7.2185
7.365
7.441
7.514
7.5375
7.5525
7.6015
7.619
7.6885
8.0215
8.522
8.8315
9.1145
9.1175
9.409
9.503
9.613
9.6795
10.78
11.175
11.81
11.945
12.275
12.545
12.895
